product_id,product_name,category
P00001,Fiama Bath Soap,Bath & Body
P00002,Pepsi Soft Drink,Cold Drinks & Juices
P00003,Tata Tea Coffee Beans,Tea & Coffee
P00004,Tropicana Apple Juice,Cold Drinks & Juices
P00005,Mars Ladoo,Chocolates & Sweets
P00006,Nescafe Herbal Tea,Tea & Coffee
P00007,Lux Conditioner,Bath & Body
P00008,Patanjali Toor Dal,"Atta, Rice & Dal"
P00009,Continental Filter Coffee,Tea & Coffee
P00010,Brooke Bond Green Tea,Tea & Coffee
P00011,Paper Boat Energy Drink,Cold Drinks & Juices
P00012,Pigeon Food Storage Bags,Kitchen Essentials
P00013,Daawat Rajma,"Atta, Rice & Dal"
P00014,Cadbury Chocolate Bar,Chocolates & Sweets
P00015,Thums Up Fruit Juice,Cold Drinks & Juices
P00016,Santoor Face Wash,Bath & Body
P00017,Surf Excel Dishwash Liquid,Cleaning & Laundry
P00018,Haldirams Ladoo,Chocolates & Sweets
P00019,Aavin Fresh Cream,Dairy & Eggs
P00020,Red Label Coffee Beans,Tea & Coffee
P00021,Mother Dairy Brown Eggs,Dairy & Eggs
P00022,Wagh Bakri Herbal Tea,Tea & Coffee
P00023,Wagh Bakri Green Tea,Tea & Coffee
P00024,Milton Kitchen Towels,Kitchen Essentials
P00025,NaturePick Garlic,Fruits & Vegetables
P00026,Sensodyne Toothbrush,Oral Care
P00027,Tide Detergent Liquid,Cleaning & Laundry
P00028,Sundrop Desi Ghee,Edible Oils & Ghee
P00029,LocalFarm Carrot,Fruits & Vegetables
P00030,Closeup Electric Toothbrush,Oral Care
P00031,Oral-B Toothbrush,Oral Care
P00032,Nandini White Eggs,Dairy & Eggs
P00033,Fortune Rajma,"Atta, Rice & Dal"
P00034,Dhara Sunflower Oil,Edible Oils & Ghee
P00035,Dodla Milk,Dairy & Eggs
P00036,Organic India Lady Finger,Fruits & Vegetables
P00037,FarmFresh Carrot,Fruits & Vegetables
P00038,Tide Toilet Cleaner,Cleaning & Laundry
P00039,Tropicana Apple Juice,Cold Drinks & Juices
P00040,Patanjali Moong Dal,"Atta, Rice & Dal"
P00041,Continental Herbal Tea,Tea & Coffee
P00042,Country Delight Brown Eggs,Dairy & Eggs
P00043,Paper Boat Iced Tea,Cold Drinks & Juices
